"^Drücken Sie",Drücke
"dass Sie diesen Artikel entfernen wollen","dass du diesen Artikel entfernen willst"
"dass Sie die Adresseingabe abbrechen wollen","dass du die Adresseingabe abbrechen willst"
"Wenn Sie in unserem Shop ein Benutzerkonto einrichten","Wenn du in unserem Shop ein Benutzerkonto einrichtest"
"werden Sie schneller durch den Bestellvorgang geführt, können","wirst du schneller durch den Bestellvorgang geführt, kannst"
", Ihren",", deinen"
"haben Sie","hast du"
", Ihre letzten",", deine letzten"
"Wenn Sie ein registrierter Kunde mit USt.ID sind","Wenn du ein registrierter Kunde mit USt.ID bist"
"Wenn Sie dies für einen Fehler halten","Wenn du dies für einen Fehler hältst"
"Wenn Sie bei uns ein Benutzerkonto besitzen","Wenn du bei uns ein Benutzerkonto besitzt"
"([a-z]) Ihr","$1 dein"
"Fordern Sie",Fordere
"Fügen Sie",Füge
"Wenn Sie sicher sind","Wenn du sicher bist"
"^Sie sind","Du bist"
^Ihr,Dein
"Gehen Sie",Gehe
"kaufen Sie",kaufe
"laden Sie",lade
"entfernen Sie",entferne
"wenn Sie für diesen Artikel keine Geschenknachricht eingeben möchten","wenn du für diesen Artikel keine Geschenknachricht eingeben möchtest"
"wenn Sie für diese Adresse keine Geschenknachricht eingeben möchten","wenn du für diese Adresse keine Geschenknachricht eingeben möchtest"
"wenn Sie für diese Bestellung keine Geschenknachricht eingeben möchten","wenn du für diese Bestellung keine Geschenknachricht eingeben möchtest"
"wiederholen Sie",wiederhole
"Aktivieren Sie",Aktiviere
"wenn Sie auf Warenkorb bearbeiten"" klicken","wenn du auf Warenkorb bearbeiten"" klickst"
"Stellen Sie",Stelle
"^Sie werden","Du wirst"
"beheben Sie die Fehler und laden","behebe die Fehler und lade"
"beheben Sie",behebe
"bauen Sie",baue
"Bewahren Sie",bewahre
"können Sie","kannst du"
"Bevor Sie sich zum Shop begeben, notieren Sie sich","Bevor du dich zum Shop begibst, notiere dir"
"Lesen Sie",Lies
"wenn Sie die Shop- und Administrationsoberfläche testen möchten","wenn du die Shop- und Administrationsoberfläche testen möchtest"
"wenn Sie eine grafische Auswertung der Verkaufszahlen auf deiner Übersichtsseite anzeigen möchten","wenn du eine grafische Auswertung der Verkaufszahlen auf deiner Übersichtsseite anzeigen möchtest"
"wenn Sie über ein gültiges SSL Zertifikat verfügen","wenn du über ein gültiges SSL Zertifikat verfügst"
"Machen Sie",Mache
"Haben Sie","Hast du"
"Sind Sie","Bist du"
"aktivieren Sie",aktiviere
"Sollten Sie","Solltest du"
"mit dem Sie auch die Magento-Dateien hochgeladen haben","mit dem du auch die Magento-Dateien hochgeladen hast"
"Wenn Sie nicht möchten","Wenn du nicht möchtest"
"wenn Sie diese Einstellung nicht ändern können","wenn du diese Einstellung nicht ändern kannst"
"Wenn Sie die vollständigen Pakete heruntergeladen haben oder Magento via SVN installieren, sollten Sie die Paketüberprüfung und -installation überspringen, indem Sie auf den folgenden Button klicken","Wenn du die vollständigen Pakete heruntergeladen hast oder Magento via SVN installierst, solltest du die Paketüberprüfung und -installation überspringen, indem du auf den folgenden Button klickst"
"Wenn Sie die Magentopakete über die Administrationsoberfläche selbst verwalten möchten","Wenn du die Magentopakete über die Administrationsoberfläche selbst verwalten möchtest"
"korrigieren Sie die Nutzerdaten und versuchen","korrigiere die Nutzerdaten und versuche"
"dass Sie alle benötigten Felder ausgefüllt haben","dass du alle benötigten Felder ausgefüllt hast"
"bevor Sie fortfahren","bevor du fortfährst"
"lesen Sie",lies
"Wenn Sie nicht den Standard UNIX socket verwenden","Wenn du nicht den Standard UNIX socket verwendest"
"dass Sie alle HTML-Tags aus dem Text entfernen möchten","dass du alle HTML-Tags aus dem Text entfernen möchtest"
"dass Sie diese Warteschlange abbrechen wollen","dass du diese Warteschlange abbrechen willst"
"sehen Sie",sieh
"dass Sie diese Anwendung wirklich löschen wollen","dass du diese Anwendung wirklich löschen willst"
"dass Sie diese Anwendung wirklich deaktivieren wollen","dass du diese Anwendung wirklich deaktivieren willst"
"dass Sie diese Anwendung wirklich aktivieren wollen","dass du diese Anwendung wirklich aktivieren willst"
"dass Sie den Zahlungsvorgang abbrechen möchten","dass du den Zahlungsvorgang abbrechen möchtest"
"Clicken Sie",Klicke
"führen Sie",führe
"Sehen Sie",Sieh
"Beginnen Sie",Beginne
"Akzeptieren Sie",Akzeptiere
"Akzpetieren Sie",Akzeptiere
"steigern Sie",steigere
"bieten Sie",biete
"wenn Sie nicht binnen 10 Sekunden weitergeleitet werden","wenn du nicht binnen 10 Sekunden weitergeleitet wirst"
"Verbinden Sie",Verbinde
"Wenn Sie nicht über mehrere Benutzer in deinem Kundenkonto verfügen","Wenn du nicht über mehrere Benutzer in deinem Kundenkonto verfügst"
"^Sie wissen","Du weißt"
"welche PayPal Zahlungsart Sie nutzen sollen","welche PayPal Zahlungsart du nutzen willst"
"([a-z]) Ihnen","$1 dir"
"sollten Sie","solltest du"
"Wenn Sie keine zusätzlichen Benutzer für dein Händlerkonto einreichten möchten","Wenn du keine zusätzlichen Benutzer für dein Händlerkonto einreichten möchtest"
"Unterzeichnen Sie",Unterzeichne
"bitten Sie",bitte
"wenn Sie die Bestellung abschließen","wenn du die Bestellung abschließt"
"nachdem Sie die Bestellung aufgegeben haben","nachdem du die Bestellung aufgegeben hast"
"Wollen Sie","Willst du"
"da Sie die Verfügbarkeitsbenachrichtigung aktiviert haben","da du die Verfügbarkeitsbenachrichtigung aktiviert hast"
"für Sie verfügbar","für dich verfügbar"
"da Sie die Preisbenachrichtigung aktiviert haben","da du die Preisbenachrichtigung aktiviert hast"
"Schreiben Sie",Schreibe
"Wenn Sie keinen Bewertungstitel für einen Store angeben","Wenn du keinen Bewertungstitel für einen Store angibst"
"dass Sie die Gesamtstatistiken aktualisieren wollen","dass du die Gesamtstatistiken aktualisieren willst"
"wenn Sie diese Operation fortsetzen","wenn du diese Operation fortsetzt"
"bewerten Sie","bewertest du"
"^Sie bewerten","Du bewertest"
"dass Sie diese Zahlung akzeptieren wollen","dass du diese Zahlung akzeptieren willst"
"dass Sie diese Bestellung stornieren wollen","dass du diese Bestellung stornieren willst"
"dass Sie diese Zahlung verweigern wollen","dass du diese Zahlung verweigern willst"
"dass Sie die Gutschrift per E-Mail an den Kunden senden wollen","dass du die Gutschrift per E-Mail an den Kunden senden willst"
"dass Sie die Rechnung per E-Mail an den Kunden senden wollen","dass du die Rechnung per E-Mail an den Kunden senden willst"
"dass Sie die Versandinformation per E-Mail an den Kunden senden wollen","dass du die Versandinformation per E-Mail an den Kunden senden willst"
"dass Sie die Bestellbestätigung per E-Mail an den Kunden senden wollen","dass du die Bestellbestätigung per E-Mail an den Kunden senden willst"
"dass Sie die Zahlung aufheben wollen","dass du die Zahlung aufheben willst"
"definieren Sie",definiere
"\. Sie kann","\. Sie kann"
"Wenn Sie Sie die Bestellung dennoch bearbeiten möchten","Wenn du die die Bestellung dennoch bearbeiten möchtest"
